"X","fec_col_cat","rpart"
735,1,"1"
3492,0,"0"
4963,1,"1"
2293,1,"1"
2391,0,"0"
4343,1,"1"
3550,0,"0"
1476,0,"0"
3236,1,"1"
2900,0,"0"
2786,0,"0"
4842,1,"1"
1614,1,"1"
1897,0,"0"
1785,1,"1"
1064,1,"1"
4884,0,"0"
1461,1,"1"
5222,0,"0"
741,0,"0"
4418,0,"0"
3116,0,"0"
4351,1,"1"
3249,1,"1"
2317,0,"0"
4145,0,"0"
611,0,"0"
5007,0,"0"
2731,0,"0"
4752,1,"1"
2750,0,"0"
542,1,"1"
2842,0,"0"
5079,1,"1"
2526,1,"1"
2809,0,"0"
4729,1,"1"
1775,0,"0"
4848,1,"1"
4985,0,"0"
4292,0,"0"
3398,1,"1"
1136,1,"1"
4905,0,"0"
2783,0,"0"
2443,0,"0"
4749,1,"1"
1138,0,"0"
3760,1,"1"
134,1,"1"
1194,0,"0"
4425,1,"1"
1902,1,"1"
913,1,"1"
762,1,"1"
4085,1,"1"
4102,0,"0"
2735,0,"0"
1440,0,"0"
3442,0,"0"
4248,0,"0"
4545,0,"0"
4639,1,"1"
1521,0,"0"
4160,0,"0"
1584,1,"1"
1690,1,"1"
2040,1,"1"
681,0,"0"
4276,1,"1"
1055,1,"1"
1530,0,"0"
2670,0,"0"
2142,0,"0"
1807,0,"0"
3919,0,"0"
4362,1,"1"
3902,0,"0"
2500,0,"0"
3917,0,"0"
82,0,"0"
2564,0,"0"
4031,0,"0"
3861,0,"0"
4841,0,"0"
3030,0,"0"
1473,1,"1"
1272,0,"0"
3181,0,"0"
4785,1,"1"
1956,1,"1"
146,1,"1"
609,0,"0"
3936,0,"0"
4989,0,"0"
3132,0,"0"
2149,0,"0"
2484,0,"0"
1674,1,"1"
1297,0,"0"
3028,1,"1"
1923,1,"1"
442,0,"0"
4741,1,"1"
4116,0,"0"
2247,0,"0"
833,1,"1"
1670,1,"1"
2047,0,"0"
888,1,"1"
3299,1,"1"
1459,1,"1"
3859,0,"0"
2253,1,"1"
299,1,"1"
446,0,"0"
820,1,"1"
4239,0,"0"
1976,1,"1"
2588,0,"0"
477,0,"0"
4516,1,"1"
2788,0,"0"
4055,0,"0"
1952,0,"0"
4472,0,"0"
4740,1,"1"
460,0,"0"
287,1,"1"
3455,0,"0"
1887,1,"1"
5083,1,"1"
500,1,"1"
2291,0,"0"
879,1,"1"
1290,1,"1"
4483,1,"1"
2773,0,"0"
375,0,"0"
2555,0,"0"
4334,0,"0"
84,1,"1"
1638,0,"0"
3824,0,"0"
3563,0,"0"
2637,1,"1"
620,0,"0"
760,0,"0"
3863,0,"0"
624,1,"1"
5114,1,"1"
1114,1,"1"
4796,1,"1"
268,0,"0"
3992,0,"0"
2593,0,"0"
1874,1,"1"
5240,1,"1"
4378,0,"0"
2690,0,"0"
1329,0,"0"
3289,1,"1"
2745,0,"0"
332,1,"1"
1148,0,"0"
288,0,"0"
3151,1,"1"
824,1,"1"
5184,1,"1"
3575,0,"0"
3573,0,"0"
837,1,"1"
659,0,"0"
3307,1,"1"
5218,1,"1"
1899,0,"0"
1434,1,"1"
3020,1,"1"
4723,1,"1"
675,0,"0"
4204,1,"1"
764,1,"1"
2921,1,"1"
2104,0,"0"
1477,0,"0"
5127,1,"1"
3108,0,"0"
166,0,"0"
1484,0,"0"
3250,0,"0"
5032,0,"0"
120,1,"1"
4475,1,"1"
1500,0,"0"
5210,1,"1"
2382,0,"0"
2617,1,"1"
1068,0,"0"
445,0,"0"
378,1,"1"
4406,0,"0"
5089,1,"1"
3708,1,"1"
2064,0,"0"
4883,0,"0"
779,0,"0"
3740,1,"1"
417,1,"1"
3505,0,"0"
527,0,"0"
3393,1,"1"
1323,0,"0"
3267,0,"0"
4674,0,"0"
3278,1,"1"
4170,0,"0"
3126,1,"1"
475,0,"0"
3765,0,"0"
2927,0,"0"
5131,0,"0"
4954,0,"0"
4916,0,"0"
2403,0,"0"
2517,0,"0"
1097,1,"1"
2421,0,"0"
3537,0,"0"
784,0,"0"
191,0,"0"
5062,0,"0"
2497,0,"0"
1858,1,"1"
2258,0,"0"
4561,1,"1"
3802,0,"0"
2436,0,"0"
1818,1,"1"
1009,1,"1"
3071,0,"0"
3232,0,"0"
2916,1,"1"
3040,1,"1"
1103,0,"0"
4569,1,"1"
2053,1,"1"
1567,1,"1"
4847,1,"1"
4363,1,"1"
3835,0,"0"
2418,0,"0"
2592,1,"1"
1335,0,"0"
2664,0,"0"
1187,1,"1"
4371,0,"0"
3185,1,"1"
2902,0,"0"
5189,1,"1"
5256,1,"1"
3163,1,"1"
3075,0,"0"
1612,0,"0"
4103,0,"0"
1174,1,"1"
3624,1,"1"
255,1,"1"
2726,0,"0"
4470,1,"1"
5159,0,"0"
4241,0,"0"
2742,0,"0"
148,1,"1"
2398,0,"0"
3188,1,"1"
142,1,"1"
377,1,"1"
5144,1,"1"
4530,1,"1"
4361,0,"0"
1898,0,"0"
3953,0,"0"
2576,0,"0"
4712,1,"1"
1455,0,"0"
47,1,"1"
3216,1,"1"
2917,0,"0"
1400,0,"0"
2233,0,"0"
2458,0,"0"
1667,1,"1"
4701,1,"1"
934,1,"1"
3566,1,"1"
5000,0,"0"
2446,0,"0"
3438,0,"0"
3327,1,"1"
1154,0,"0"
3703,1,"1"
1880,1,"1"
1412,1,"1"
3056,0,"0"
607,0,"0"
2973,1,"1"
746,1,"1"
1427,0,"0"
1875,0,"0"
4532,1,"1"
3844,0,"0"
2521,0,"0"
1739,1,"1"
504,0,"0"
940,1,"1"
2578,0,"0"
2851,0,"0"
2371,0,"0"
5106,1,"1"
2487,0,"0"
4045,1,"1"
1593,1,"1"
3564,0,"0"
173,1,"1"
1742,0,"0"
107,1,"1"
137,1,"1"
430,1,"1"
3914,0,"0"
2631,0,"0"
602,0,"0"
4633,1,"1"
1639,1,"1"
922,1,"1"
2807,0,"0"
848,0,"0"
5104,0,"0"
2924,0,"0"
2148,0,"0"
221,1,"1"
4793,1,"1"
3167,1,"1"
1509,0,"0"
5202,0,"0"
4632,1,"1"
4770,1,"1"
2989,1,"1"
1873,1,"1"
4626,1,"1"
4685,0,"0"
3705,1,"1"
3707,0,"0"
3724,1,"1"
3786,0,"0"
2184,0,"0"
4737,1,"1"
248,0,"0"
1643,1,"1"
2074,0,"0"
2702,0,"0"
4227,0,"0"
1570,1,"1"
950,1,"1"
4772,1,"1"
2129,0,"0"
3218,1,"1"
1752,0,"0"
3031,1,"1"
2550,0,"0"
3593,0,"0"
1481,0,"0"
3812,0,"0"
2811,0,"0"
3710,1,"1"
1450,0,"0"
3144,0,"0"
835,1,"1"
1909,1,"1"
2688,0,"0"
1827,0,"0"
4587,1,"1"
1320,0,"0"
0,1,"1"
4871,0,"0"
4355,0,"0"
1343,0,"0"
407,1,"1"
2892,1,"1"
2914,0,"0"
4015,0,"0"
3494,0,"0"
4543,0,"0"
1029,1,"1"
3470,0,"0"
3815,0,"0"
3538,0,"0"
2699,0,"0"
3644,1,"1"
2932,1,"1"
458,0,"0"
2087,1,"1"
1295,1,"1"
2800,0,"0"
4929,1,"1"
4538,0,"0"
1230,0,"0"
1074,1,"1"
1070,0,"0"
767,0,"0"
1073,1,"1"
991,1,"1"
4766,1,"1"
4035,0,"0"
1069,0,"0"
